statename,rank,countryd,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Connecticut,7,Japan,1069.34,1091.5,945.39,846.13,4.959,4.5634,3.6406,3.9689,-10.5
Connecticut,8,France,911.27,765.4,660.43,641.7,4.226,3.2,2.5432,3.01,-2.84
Connecticut,9,Italy,495.29,546.93,537.65,566.05,2.2969,2.2866,2.0705,2.6551,5.28
Connecticut,10,Poland,545.12,532.54,585.41,541.2,2.528,2.2265,2.2544,2.5386,-7.55
Connecticut,11,Singapore,589.47,485.4,541.77,489.63,2.7336,2.0294,2.0863,2.2966,-9.62
Connecticut,12,Netherlands,992.12,1603.24,482.71,467.2,4.6009,6.7028,1.8589,2.1915,-3.21
Connecticut,13,Switzerland,407.15,478.79,436.64,399.53,1.8881,2.0017,1.6815,1.8741,-8.5
Connecticut,14,Russia,154.52,519.74,234.25,373.12,0.7166,2.173,0.9021,1.7502,59.28
Connecticut,15,Brazil,270.38,343.31,246.59,286.55,1.2539,1.4353,0.9496,1.3441,16.21
Connecticut,16,Israel,288.41,290.7,258.83,246.73,1.3375,1.2154,0.9967,1.1573,-4.68
Connecticut,17,India,194.48,284.09,271.36,245.56,0.9019,1.1877,1.045,1.1518,-9.51
Connecticut,18,Taiwan,291.47,301.9,319.83,233.23,1.3517,1.2622,1.2316,1.094,-27.08
Connecticut,19,Belgium,205.01,242.69,251.42,212.66,0.9507,1.0146,0.9682,0.9975,-15.42
Connecticut,20,"Korea, South",158.06,206.67,244.48,206.08,0.733,0.8641,0.9415,0.9667,-15.7
Connecticut,21,Vietnam,145.54,147.11,174.53,191.81,0.6749,0.615,0.6721,0.8997,9.9
Connecticut,22,Turkey,163.33,136.93,128.66,187.91,0.7574,0.5725,0.4955,0.8814,46.05
Connecticut,23,South Africa,205.2,269.45,137.86,158.28,0.9516,1.1265,0.5309,0.7424,14.81
Connecticut,24,Sweden,296.92,283.74,182.94,153.78,1.377,1.1863,0.7045,0.7213,-15.94
Connecticut,25,Spain,161.62,153.18,155.05,150.19,0.7495,0.6404,0.5971,0.7045,-3.14
Delaware,0,World,10132.24,10739.04,9234.3,7556.38,0.4468,0.4557,0.4107,0.3454,-18.17
Delaware,0,Top 25,8806.28,9351.58,8443.73,6903.61,86.9135,87.0802,91.4388,91.3613,-18.24
Delaware,1,United Kingdom,1013.08,688.53,979.6,1326.66,9.9986,6.4115,10.6083,17.5568,35.43
Delaware,2,Colombia,79.01,377.89,970.42,796.91,0.7798,3.5189,10.5088,10.5461,-17.88
Delaware,3,France,743.81,949.37,1106.14,788.9,7.3411,8.8404,11.9786,10.4402,-28.68
Delaware,4,Canada,1456.89,1839.33,780.07,437.79,14.3788,17.1275,8.4475,5.7937,-43.88
Delaware,5,China,473.88,506.67,382.66,381.67,4.6769,4.718,4.1439,5.0509,-0.26
Delaware,6,Costa Rica,219.67,248.6,235.21,277.76,2.1681,2.3149,2.5472,3.6759,18.09
Delaware,7,Mexico,243.98,336.32,554.69,263.41,2.4079,3.1318,6.0068,3.486,-52.51
Delaware,8,Venezuela,25.01,136.99,0,246.07,0.2468,1.2756,0,3.2564,0
Delaware,9,Germany,301.18,421.37,340.72,242.52,2.9725,3.9237,3.6897,3.2095,-28.82
Delaware,10,Chile,198.22,247.31,180.07,193.74,1.9564,2.303,1.95,2.5639,7.59
Delaware,11,Belgium,1064.54,1720.76,1338.91,188.05,10.5065,16.0234,14.4993,2.4886,-85.96
Delaware,12,Sweden,61.63,113.38,242.92,179.69,0.6083,1.0558,2.6307,2.378,-26.03
Delaware,13,Russia,1481.25,203.46,188.29,163.9,14.6192,1.8946,2.039,2.1691,-12.95
Delaware,14,Brazil,47.55,149.66,77.69,151.27,0.4693,1.3936,0.8413,2.0019,94.72
Delaware,15,Netherlands,288.93,190.02,146.88,148.29,2.8516,1.7694,1.5906,1.9624,0.96
Delaware,16,Iraq,178.01,278.92,18.06,136.1,1.7569,2.5972,0.1955,1.8011,653.72
Delaware,17,Switzerland,55.92,67.41,164.9,129.89,0.5519,0.6277,1.7857,1.7189,-21.23
Delaware,18,Spain,22.44,64.31,96.1,124.5,0.2215,0.5988,1.0406,1.6476,29.56
Delaware,19,Guatemala,100.94,107.31,91.94,120.31,0.9962,0.9993,0.9956,1.5922,30.86
Delaware,20,Italy,94.41,120.32,82.18,111.99,0.9318,1.1204,0.89,1.4821,36.27
Delaware,21,Nigeria,385.3,230.62,82.41,111.67,3.8027,2.1475,0.8925,1.4778,35.49
Delaware,22,Honduras,107.79,117.52,128.02,111.46,1.0638,1.0943,1.3864,1.475,-12.94
Delaware,23,Japan,90.31,90.28,100.35,98.27,0.8913,0.8407,1.0867,1.3005,-2.08
Delaware,24,Taiwan,17.03,81.76,84.82,93.11,0.1681,0.7613,0.9186,1.2322,9.77
Delaware,25,Malaysia,55.49,63.44,70.67,79.68,0.5476,0.5907,0.7653,1.0544,12.74
District of Colombia,0,World,625.69,1104.97,913.06,486.78,0.0276,0.0469,0.0406,0.0222,-46.69
District of Colombia,0,Top 25,538.18,908.22,785.81,457.19,86.0133,82.1936,86.0628,93.9227,-41.82
District of Colombia,1,India,33.51,236.74,140.17,80.74,5.3553,21.4247,15.3519,16.5867,-42.4
District of Colombia,2,Canada,133.65,55.72,54.97,68.2,21.36,5.0422,6.0203,14.0111,24.07
District of Colombia,3,France,53.48,48.1,47.2,35.57,8.5471,4.3532,5.1694,7.3073,-24.64
District of Colombia,4,Germany,54.6,125.17,59.37,35.43,8.7263,11.3279,6.5028,7.2781,-40.33
District of Colombia,5,Japan,42.31,116.79,163.62,32.81,6.7619,10.5698,17.92,6.7397,-79.95
District of Colombia,6,China,21.05,29.13,27.32,28.1,3.3649,2.636,2.9926,5.7725,2.84
District of Colombia,7,United Kingdom,52.38,93.94,125.32,27.97,8.3713,8.5019,13.7251,5.7464,-77.68
District of Colombia,8,Italy,33.81,35.45,33.27,21.23,5.4043,3.2085,3.6433,4.3607,-36.19
District of Colombia,9,Switzerland,5.56,13.99,5.34,17.49,0.8887,1.2658,0.5846,3.5931,227.68
District of Colombia,10,Argentina,11.99,18.96,22.25,17.23,1.9161,1.7161,2.4369,3.5389,-22.58
District of Colombia,11,Netherlands,10.06,24.55,25.9,15.74,1.6077,2.2215,2.8365,3.2332,-39.23
District of Colombia,12,Australia,4.52,7.95,13.91,14.9,0.7216,0.7194,1.5234,3.0601,7.09
District of Colombia,13,"Korea, South",12.13,9.61,14.99,12.35,1.9387,0.8697,1.6422,2.5366,-17.65
District of Colombia,14,Mexico,14.18,9.78,7.05,9.1,2.2657,0.8854,0.7721,1.8694,29.09
District of Colombia,15,Sweden,3.94,3.92,5.67,7.82,0.6305,0.355,0.6209,1.6066,37.96
District of Colombia,16,Spain,5.6,4.93,9.17,6.35,0.8954,0.4457,1.004,1.3053,-30.69
District of Colombia,17,Ireland,14.35,18.84,10.42,5.29,2.294,1.7052,1.1415,1.0873,-49.22
District of Colombia,18,Denmark,1.79,34.41,2.51,3.69,0.2865,3.1145,0.2748,0.7581,47.05
District of Colombia,19,Belgium,2.69,2.95,2.98,3.14,0.4304,0.2671,0.3263,0.645,5.37
District of Colombia,20,Vietnam,1.45,1.55,3.16,3.1,0.2324,0.14,0.346,0.6368,-1.9
District of Colombia,21,Norway,3.72,4.12,2.36,2.42,0.5948,0.3728,0.2585,0.4976,2.62
District of Colombia,22,Brazil,16.19,3.65,3.77,2.31,2.5876,0.3299,0.4125,0.4755,-38.54
District of Colombia,23,Chile,1.49,1.3,1.55,2.14,0.2388,0.1174,0.1693,0.4393,38.37
District of Colombia,24,Thailand,1.88,4.79,1.84,2.05,0.3,0.4337,0.2014,0.4216,11.59
District of Colombia,25,New Zealand,1.84,1.88,1.7,2.02,0.2933,0.1701,0.1864,0.4159,18.94
Florida,0,World,72258.29,71850.13,73409.78,73625.97,3.186,3.0492,3.2653,3.3653,0.29
Florida,0,Top 25,57693.17,56316.8,59851.38,61317.75,79.843,78.3809,81.5305,83.2828,2.45
Florida,1,China,11758.56,12266.24,11842.96,11903.06,16.273,17.072,16.1327,16.1669,0.51
Florida,2,Mexico,4845.89,4557.6,5557.68,5784.45,6.7063,6.3432,7.5708,7.8565,4.08
Florida,3,Canada,4250.86,3879.75,4237.31,4293.44,5.8829,5.3998,5.7721,5.8314,1.32
Florida,4,Germany,2107.56,2145.25,3990.48,4256.62,2.9167,2.9857,5.4359,5.7814,6.67
Florida,5,Japan,3798.03,2931.33,3275.29,3557.12,5.2562,4.0798,4.4616,4.8313,8.6
Florida,6,Brazil,3465.73,3075.31,3035.55,3274.66,4.7963,4.2802,4.1351,4.4477,7.88
Florida,7,France,2901.55,3369.62,3512.49,3268.32,4.0155,4.6898,4.7848,4.4391,-6.95
Florida,8,Colombia,3030.89,2309.74,2311.79,2601.58,4.1945,3.2147,3.1492,3.5335,12.54
Florida,9,Vietnam,1403.23,1941.13,2530.01,2502.76,1.942,2.7016,3.4464,3.3993,-1.08
Florida,10,Chile,2359.67,2843.09,2097.39,1996.72,3.2656,3.957,2.8571,2.712,-4.8
Florida,11,Italy,1507.69,1610.04,1916.46,1950.43,2.0865,2.2408,2.6106,2.6491,1.77
Florida,12,United Kingdom,2077.67,2065.26,2091.32,1911.25,2.8753,2.8744,2.8488,2.5959,-8.61
Florida,13,"Korea, South",1384.99,1799.87,1909.15,1875.51,1.9167,2.505,2.6007,2.5474,-1.76
Florida,14,Peru,2436.41,857.77,1126.75,1530.52,3.3718,1.1938,1.5349,2.0788,35.84
Florida,15,India,891.51,1219.94,1144.11,1401.13,1.2338,1.6979,1.5585,1.903,22.47
Florida,16,Switzerland,1116.13,959.37,1250.66,1171.43,1.5446,1.3352,1.7037,1.5911,-6.34
