statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,"[-86.3092803955078,32.36662317982762]",16,South Africa,"[24.0380859375,-28.478348692223175]",183.63,212.41,178.91,174.39,0.9514,1.092,0.9257,0.8539,-2.53
Colorado,"[-105.677490234375,39.198205348894795]",12,Taiwan,"[120.9375,23.725011735951796]",182.93,191.76,205.85,205.46,2.1407,2.2928,2.5892,2.7105,-0.19
Alabama,"[-86.3092803955078,32.36662317982762]",15,Saudi Arabia,"[46.23046874999999,24.206889622398023]",181.34,128.81,193.89,174.84,0.9395,0.6623,1.0031,0.8561,-9.82
Connecticut,"[-72.6800537109375,41.67086022030498]",13,Hong Kong,"[114.13970947265625,22.403410892712124]",181.31,202.48,188.87,231.25,1.1038,1.2684,1.2391,1.6065,22.44
Colorado,"[-105.677490234375,39.198205348894795]",13,Australia,"[134.560546875,-25.641526373065755]",181.15,167.35,155.2,142.83,2.12,2.0009,1.9521,1.8843,-7.97
Kentucky,"[-85.26489257812499,37.501010429493284]",16,Malaysia,"[102.3486328125,3.5134210456400448]",180.87,185.2,296.19,390.44,0.7118,0.6672,1.0714,1.3372,31.82
Missouri,"[-92.515869140625,38.151837403006766]",15,Netherlands,"[5.537109374999999,52.02545860348814]",179.54,186.65,136.96,120.54,1.3855,1.3154,1.0036,0.8651,-11.99
Nevada,"[-116.8505859375,39.45316112807394]",11,Australia,"[134.560546875,-25.641526373065755]",178.55,121.51,104.33,126.88,2.052,1.5798,1.2039,1.2996,21.61
Maryland,"[-76.83425903320312,39.470125122358176]",16,Singapore,"[103.84552001953125,1.3154972002419345]",177.45,177.6,155.91,170.82,1.5107,1.4524,1.5511,1.7687,9.56
New Hampshire,"[-71.575927734375,43.68773584519811]",11,Netherlands,"[5.537109374999999,52.02545860348814]",177.13,198.11,170.47,147.35,5.0449,4.68,4.2604,3.5565,-13.57
Kentucky,"[-85.26489257812499,37.501010429493284]",18,Italy,"[13.0078125,42.5530802889558]",177.08,180.62,209.33,211.5,0.6969,0.6507,0.7572,0.7243,1.04
Arizona,"[-112.093505859375,33.44977658311846]",23,Italy,"[13.0078125,42.5530802889558]",175.9,159.3,345.41,156.84,0.9031,0.7498,1.5246,0.7124,-54.59
Alabama,"[-86.3092803955078,32.36662317982762]",22,Italy,"[13.0078125,42.5530802889558]",173.7,148.69,131.1,116.94,0.8999,0.7645,0.6783,0.5726,-10.8
Wisconsin,"[-89.77203369140625, 44.70575417971902]",20,Taiwan,"[120.9375,23.725011735951796]",173.56,181.69,184.02,185.33,0.751,0.7756,0.8201,0.8817,0.72
Arkansas,"[-92.28515625,35.06597313798418]",11,Belgium,"[4.7515869140625,50.73297844827752]",173.52,158.48,133.74,125.98,2.4232,2.3081,2.2786,2.2073,-5.8
Vermont,"[-72.740478515625, 44.03824429423549]",3,Malaysia,"[102.3486328125,3.5134210456400448]",172.82,197.14,231.72,192.57,4.292,5.3723,7.2832,6.4411,-16.89
Missouri,"[-92.515869140625,38.151837403006766]",18,Italy,"[13.0078125,42.5530802889558]",172.14,130.89,123.91,86.79,1.3284,0.9224,0.9079,0.6228,-29.96
Kansas,"[-98.19580078125,38.53957267203905]",14,Hong Kong,"[114.13970947265625,22.403410892712124]",171.65,222.17,176.89,144.64,1.3777,1.848,1.6547,1.4207,-18.23
Colorado,"[-105.677490234375,39.198205348894795]",16,Belgium,"[4.7515869140625,50.73297844827752]",171.1,207.94,161.82,125.76,2.0023,2.4862,2.0353,1.659,-22.28
Connecticut,"[-72.6800537109375,41.67086022030498]",16,Switzerland,"[8.3880615234375,46.76620587423741]",170.31,175.65,161.19,204.22,1.0368,1.1004,1.0575,1.4187,26.69
Ohio,"[-82.6611328125,40.40513069752789]",24,Spain,"[-3.076171875,40.27952566881291]",169.82,215.99,238.71,255.65,0.3327,0.4103,0.4666,0.5186,7.09
Indiana,"[-86.15478515625,39.85072092501597]",25,Colombia,"[-73.037109375,3.8204080831949407]",168.61,195.67,212.74,172.51,0.4928,0.5498,0.6291,0.4978,-18.91
Alabama,"[-86.3092803955078,32.36662317982762]",21,Hong Kong,"[114.13970947265625,22.403410892712124]",168.51,183.07,136.05,125.37,0.873,0.9412,0.7039,0.6139,-7.85
Montana,"[-109.2041015625,47.07012182383309]",3,"Korea, South","[128.056640625,36.527294814546245]",168.49,205.39,171.64,100.39,11.1892,13.2945,12.2244,7.3809,-41.51
Utah,"[-111.6046142578125, 39.24501680713314]",14,Italy,"[13.0078125,42.5530802889558]",168.11,139.91,167.32,173.41,1.0434,1.1445,1.2573,1.4358,3.64
Oklahoma,"[-97.49267578125,35.65729624809628]",15,Australia,"[134.560546875,-25.641526373065755]",168.05,133.74,121.39,64.14,2.4286,2.1201,2.312,1.2707,-47.16
Rhode Island,"[-71.575927734375,41.668808555620586]",2,Mexico,"[-102.3046875,23.926013033021192]",166.2,195.34,180.61,208.05,7.6796,8.1786,8.4685,9.1339,15.2
Oregon,"[-120.21240234375001,43.76315996157264]",19,Thailand,"[101.35986328125,15.813395760460585]",162.86,191.53,189.52,196.22,0.874,0.9169,0.9435,0.902,3.53
Arkansas,"[-92.28515625,35.06597313798418]",7,"Korea, South","[128.056640625,36.527294814546245]",162.82,175.95,154.21,145.93,2.2738,2.5625,2.6273,2.5568,-5.37
